study,date,time,subject,consentq,last30days,recentgame1,recentgame2,recentgame3,recentgame4,recentgame5,playfrequency1,playfrequency2,playfrequency3,playfrequency4,playfrequency5,sliderviolence1,FreqViolence1,sliderviolence2,FreqViolence2,sliderviolence3,FreqViolence3,sliderviolence4,FreqViolence4,sliderviolence5,FreqViolence5,Averagefrequencyviolence,Age,Gender,sexnumerical,country,Numericalgameplayed,Gameplayed,VorNV,Score,Selfscore,Sexuality,Relationshipstatus,lengthofrelationship,ageofpartner,mvscaleselfdesirability,mvscaleothersdesirability,mvscalecomparison,mvscalecatch,MV1Total,mv1,mv2,mv3,MV3responserecoded,mv4,mv5,mv6,mv7,mv8,mv9,mv10,MV10responserecoded,mv11,mv12,mv13,MV13responserecoded,mv14,mv15,mv16,mv17,mv18,mv19,mv20,mv21,mv22,Mvfactorviewofoppositesex,MVFactorSociality,MVFactorparenting,MVFactorWealth,MVFactorLooks,MVfactorRelationshiphistory,MVFactorFearoffailure,MV2Average,sgaq1,sgaq2,sgaq3,sgaq4,sgaq5,sgaq6,sgaq7,sgaq8,SGAAverage,hos1,hos2,hos3,hos4,hos5,hos6,HostilityTotal,mm1,mm2,mm3,mm4,MATINGMOTIVATIONtotal,soirq1,soirq2,soirq3,soirq4,soirq5,soirq6,SOIRQ6Reversecoding,soirq7,soirq8,soirq9,soirq10,SOIRQ1Score,SOIRQ2Score,SOIRQSCORE,SOIRBehaviouralfacet,SOIRATTITUDEFACET,SOIRDESIREFACET,SOIRTOTAL,troubleunderstanding,furtherquestions,Removedata
mturk,63015,15:50:48,39172178,"Yes, I consent to participate in this study",Yes,candy crush,monkey city,two dots,,,7,5,5, , ,1,7,2,10,1,5,,,,,7.333333333,28,Male,2,united states,3,bubbleshooter.html,NV,13360,6,6,Single, , ,5,5,5,5,20,6,7,5,3,7,6,5,6,5,3,2,6,4,4,2,6,3,6,5,5,5,6,6,2,4,4,5.6,6,4,5.5,6,4.5,5,1,7,4,5,1,6,1,2,3.333333333,1,1,1,1,1,1,6,1,1,1,1,4,1,3,3,9,9,1,9,9,6,6,6,2,4,4,10,27,18,55,No,,No
mturk,63015,19:33:08,392213349,"Yes, I consent to participate in this study",Yes,Two Dots,Plants Vs Zombies,Temple Run,Bejewled,Bookworm,7,7,5,3,3,1,7,3,21,2,10,1,3,1,3,8.8,41,Female,1,United States,4,moremindlessviolence.html,V,15,3,2,Single, , ,5,5,4,4,18,5,2,5,3,1,2,4,3,3,2,2,6,1,3,3,5,3,5,5,2,2,3,5,3,4,3.666666667,3,1.333333333,2,5,4,4.5,3.272727273,3,7,5,5,5,5,2,3,4.333333333,1,1,2,1,1,1,7,2,2,2,2,8,2,2,Oct-19,8,8,2,8,9,5,4,4,3,3,8,14,24,13,51,No,Very straightforward,No
mturk,63015,13:12:13,393762955,"Yes, I consent to participate in this study",Yes,Call of Duty Black Ops,Cooking Fever,Little Big Planet,,,5,5,3, , ,7,35,1,5,1,3,,,,,14.33333333,22,Male,2,USA,1,perfectbalance.html,NV,1003,4,7,"In a long-term monogamous relationship eg. married, partnered",6-10 years,A little younger,4,5,4,4,17,3,5,5,3,4,5,3,5,5,5,6,2,5,5,5,3,3,5,5,5,3,5,5,5,3,3.666666667,4.6,4.666666667,4,5,5,2.5,4.181818182,5,5,5,5,3,6,3,5,5,1,1,1,1,1,1,6,1,1,1,1,4,1,0,0,2,1,9,1,9,1,1,1,2,1,1,4,4,3,11,No,,No
mturk,63015,21:01:35,394280205,"Yes, I consent to participate in this study",Yes,Super Mario N64,Paper Mario N64,Super Mario Galaxy for Wii,Lego Star Wars the complete saga for Wii,Kirby N64,5,5,5,4,4,2,10,2,10,3,15,4,16,2,8,11.8,33,Male,2,USA,6,gunblood.html,V,36,4,7,"In a long-term monogamous relationship eg. married, partnered",11-20 years,A little younger,6,6,4,4,20,6,7,4,4,7,6,5,5,5,1,1,7,6,6,1,7,1,6,6,6,1,4,5,1,6,4.166666667,5.8,6.666666667,1,5.5,5,5.5,4.909090909,2,7,4,4,4,7,3,1,3.333333333,1,1,1,1,1,1,6,1,1,1,1,4,0,3,3,5,1,7,3,9,3,3,3,1,4,4,9,9,9,27,No,,No
mturk,63015,17:38:01,395820000,"Yes, I consent to participate in this study",Yes,elder scrolls online,call of xduty advanced warfare,,,,7,5, , , ,6,42,7,35,,,,,,,38.5,27,Male,2,usa,2,pongnop.html,NV,1400,6,6,"In a long-term monogamous relationship eg. married, partnered",6-10 years,A little older,4,4,4,4,16,5,6,6,2,7,2,5,3,3,2,1,7,3,3,3,5,3,3,3,3,3,3,3,3,3,3.666666667,3.2,5.333333333,2.5,3,3,4.5,3.636363636,1,6,1,1,3,3,3,3,1,1,1,1,1,1,1,6,5,4,4,4,17,1,5-Jun,5-Jun,5,5,5,5,9,9,4,5,2,6,6,14,15,18,47,No,,No
mturk,63015,15:05:12,398247240,"Yes, I consent to participate in this study",Yes,Tetris,Bejeweled,,,,4,4, , , ,1,4,1,4,,,,,,,4,44,Male,2,USA,6,gunblood.html,V,81,3,7,"In a long-term monogamous relationship eg. married, partnered",2-5 years,Younger,5,5,5,5,20,5,3,5,3,2,3,5,4,2,3,2,6,2,3,3,5,5,5,6,3,5,3,6,3,5,4.333333333,3.4,2.333333333,4,6,4,4.5,3.954545455,1,7,2,3,3,6,5,3,2,1,1,2,1,1,1,7,2,2,1,2,7,1,0,2,6,3,4,6,9,3,3,2,2,1,3,6,15,8,29,No,No,No
mturk,63015,16:04:12,398938442,"Yes, I consent to participate in this study",Yes,Tetris,Candy Crush,Catch 21,Super Mario Cart,,5,5,6,2,,1,5,3,15,1,6,3,6,,,8,35,Female,1,USA,5,deanimator.html,V,2,2,1,Single,Under one year,A little older,3,3,2,4,12,3,3,5,3,2,3,2,2,5,3,5,3,2,3,2,6,5,3,6,3,5,5,6,5,3,3.5,3.8,2.333333333,4,6,4,3,3.681818182,3,6,5,5,3,6,5,2,4.333333333,1,1,1,1,1,1,6,3,3,2,2,10,0,5-Jun,5-Jun,7,8,3,7,9,7,7,3,1,6,6,13,22,17,52,No,no,No
mturk,63015,20:33:33,399428667,"Yes, I consent to participate in this study",Yes,Age of Empires 3,Civilization 5,Banished,,,4,4,4, , ,3,12,3,12,1,4,,,,,9.333333333,34,Male,2,USA,4,moremindlessviolence.html,V,1,1,7,Single, , ,6,6,6,6,24,6,6,5,3,5,5,5,3,5,2,1,7,3,5,3,5,5,5,5,5,2,6,5,5,6,5.333333333,4.6,4.666666667,2,5,5.5,5,4.727272727,1,6,2,3,7,7,2,2,2,1,1,1,1,1,1,6,1,2,1,1,5,5-Jun,0,2,9,8,1,9,9,8,7,6,6,1,3,4,26,21,51,No,,No
mturk,63015,17:50:53,401034326,"Yes, I consent to participate in this study",Yes,Farm Hero Saga,Mario Party 10,Mario Party 9,Lego Marvel Super Heroes,Lego Pirates of the Carribean,6,5,6,5,2,1,6,1,5,1,6,5,25,5,10,10.4,37,Male,2,USA,1,perfectbalance.html,NV,2016,4,7,"In a long-term monogamous relationship eg. married, partnered",11-20 years,A little younger,5,4,5,6,20,3,7,5,3,7,2,2,1,1,1,1,7,7,2,5,3,1,5,7,1,1,1,5,1,2,1.833333333,1.6,7,1,6,3,5,3.181818182,1,7,1,7,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,1,4,1,1,1,1,1,9,1,9,2,1,1,2,2,2,6,3,4,13,No,,No
mturk,63015,13:07:44,405146050,"Yes, I consent to participate in this study",Yes,Assassins Creed,,,,,7,,,,,7,49,,,,,,,,,49,33,Male,2,USA,2,pongnop.html,NV,1789,7,7,Single, , ,3,3,2,2,10,2,5,3,5,6,2,2,2,3,2,5,3,3,3,5,3,2,2,3,1,5,2,3,1,1,1.833333333,2.2,4.666666667,3.5,3,2,4,2.772727273,1,6,1,1,2,2,6,6,1,1,1,1,1,1,1,6,2,1,3,3,9,0,0,0,9,9,1,9,9,8,7,8,1,1,1,3,27,23,53,No,,No
mturk,63015,13:52:45,407298089,"Yes, I consent to participate in this study",Yes,Super Smash Bros,GTA4,Shadow of the Colossus,Assasins Creed 2,Mario Kart 64,7,7,4,3,5,2,14,7,49,3,12,6,18,1,5,19.6,27,Male,2,USA,3,bubbleshooter.html,NV,3720,3,6,Single, , ,7,5,5,7,24,6,7,7,1,5,5,6,3,5,1,1,7,3,5,1,7,6,6,7,3,1,3,7,5,6,5.666666667,4.6,5,1,7,4.5,4,4.772727273,6,7,5,7,7,7,1,1,6,1,1,1,1,1,1,6,1,1,1,1,4,1,0,0,8,9,1,9,9,9,4,9,2,1,1,4,26,22,52,No,no,No
mturk,63015,19:18:51,40956421,"Yes, I consent to participate in this study",Yes,Kingdom Hearts,Super Mario 3d,Frozen free fall,,,6,5,4, , ,5,30,5,25,1,4,,,,,19.66666667,22,Male,2,United States,2,pongnop.html,NV,1050,6,1,Single, , ,6,5,4,5,20,5,6,1,7,6,7,3,6,6,5,6,2,2,6,7,1,1,5,1,6,7,1,1,5,3,3.833333333,5.2,4.666666667,6,1,3,4.5,4.181818182,5,6,7,7,7,7,5,6,6.333333333,2,1,3,3,3,2,14,5,1,5,5,16,2,3,4,6,6,9,1,9,4,3,3,3,4,5,12,13,10,35,No,,No
mturk,63015,14:53:21,4100844,"Yes, I consent to participate in this study",Yes,Deus EX,Sim City,Pharoah/Cleopatra,,,4,3,2, , ,5,20,1,3,2,4,,,,,9,55,Male,2,USA,2,pongnop.html,NV,0,1,7,Single,Under one year, ,4,4,4,4,16,5,5,5,3,3,2,3,3,2,1,1,7,5,2,6,2,2,4,5,1,3,1,5,2,3,2.833333333,2,4.333333333,2,5,2.5,5,3.136363636,1,7,2,1,7,6,1,7,1.333333333,1,1,1,1,1,1,6,2,1,2,1,6,0,2,7-Sep,9,6,1,9,9,6,3,2,1,3,7,11,24,11,46,No,the game didn't work,No
mturk,63015,21:32:04,411317879,"Yes, I consent to participate in this study",Yes,Rune Factory 4,Pokemon Ruby & Sapphire ,Fire Emblem Awakening,,,7,2,4,,,3,21,3,6,5,20,,,,,15.66666667,19,Female,1,United States,3,bubbleshooter.html,NV,0,6,4,"In a long-term monogamous relationship eg. married, partnered",2-5 years,A little older,5,5,5,5,20,3,6,4,4,6,3,5,3,3,2,1,7,5,5,7,1,1,5,5,1,1,1,1,5,5,4,2.2,5.666666667,1.5,3,3,5.5,3.545454545,2,5,3,2,6,5,5,5,2.333333333,2,1,1,1,1,1,7,2,2,2,1,7,0,0,0,9,3,9,1,9,4,5,2,1,1,1,3,13,11,27,No,,No
